type,name,label,required,appearance,relevant
begin_group,session_info,Session & Participant Information,,,
select_one days,day,Which Workshop Day is this feedback for?,yes,,
select_one rooms,breakout_room,Which Breakout Room are you in? (For Day 2 only),no,,${day} = 'day2'
text,participant_name,Participant Name (Optional),no,,
text,participant_mda,Participant MDA / Organization,yes,,
end_group,,,,,
begin_group,day1_plenary,Day 1: Plenary Presentations Feedback,,${day} = 'day1',
note,day1_note,Focus: National Evidence Base, Frameworks, and Cross-Cutting Infrastructure.,no,,
text,draft_report_feedback,1. Draft Report & Key Findings: Do the findings accurately reflect digital readiness? Are any critical constraints missing? Are the priorities appropriate?,no,,
text,pki_feedback,2. Public Key Infrastructure (PKI): Does the PKI model align with identity/authentication needs? What integration challenges are anticipated?,no,,
text,sme_feedback,3. SME Compliance (KNADS, IPRS, ODPC, CAK): Are there compliance risks to address? What additional regulatory guidance is required?,no,,
end_group,,,,,
begin_group,day2_breakout,Day 2: MDA Process Feedback,,${day} = 'day2',
note,day2_note,Focus: MDA-specific workflows, records management, and e-service delivery.,no,,
select_one mdas,mda_evaluated,Which MDA's presentation are you evaluating?,yes,,
text,asis_accuracy,A1. As-Is Processes (Accuracy): Are the current process flows, roles, and responsibilities accurately captured?,yes,,
text,asis_completeness,A2. As-Is Processes (Completeness): Are there additional citizen-facing services or undocumented manual steps missing?,yes,,
text,tobe_feasibility,B1. To-Be Processes (Feasibility): Are the proposed changes realistic? What operational constraints might affect implementation?,yes,,
text,tobe_alignment,B2. To-Be Processes (Strategic Alignment): Do the "quick wins" address critical gaps and support strategic objectives?,yes,,
text,records_prioritisation,C1. Records Management (Prioritisation): Are identified record categories correct? Are sensitive records highlighted?,no,,
text,records_registry,C2. Records Management (Registry Challenges): Are there major storage/classification challenges not captured?,no,,
text,automation_workflow,D1. Automation (Workflow Prioritisation): Will automating these services improve citizen access? Are higher-impact services missing?,no,,
text,automation_integration,D2. Automation (Integration): Are required dependencies on platforms like eCitizen, IPRS, or payment gateways identified?,no,,
text,governance_policy,E1. Governance (Policy & Compliance): Are there legislative barriers or ODPC compliance issues?,no,,
text,governance_framework,E2. Governance (Institutional Framework): Is the proposed Digital Transformation Unit feasible? What else is needed?,no,,
text,capacity_readiness,F1. Capacity Building (Organisational Readiness): What digital skills gaps exist? What training is required?,no,,
text,capacity_leadership,F2. Capacity Building (Leadership Support): Is there executive sponsorship? What leadership structures are required?,no,,
end_group,,,,,
begin_group,day3_endorsement,Day 3: Synthesis & Endorsement Feedback,,${day} = 'day3',
note,day3_note,Focus: Consolidation of findings and agreement on the path forward.,no,,
text,synthesis_accuracy,1. Synthesis Accuracy: Does the summary reflect breakout discussions? Are key issues missing?,no,,
select_one endorsement,endorsement_status,2. Endorsement Status: Do you support the proposed outputs (Process Maps, Prioritisation, Roadmaps, Governance)?,yes,,
text,endorsement_caveats,3. Conditional Endorsement: If "With conditions" or "No", specify outstanding issues, required revisions, or consultations needed:,no,,${endorsement_status} != 'yes'
end_group,,,,,